지점번호,지점명,일시,강수량(mm),1시간최다강수량(mm)
108,서울,2022-08-01,30,13.3
108,서울,2022-08-02,33.5,7.6
108,서울,2022-08-03,51.1,17.9
108,서울,2022-08-04,0,0
108,서울,2022-08-05,0,0
108,서울,2022-08-06,13.6,11.4
108,서울,2022-08-07,0.9,0.9
108,서울,2022-08-08,129.6,38.1
108,서울,2022-08-09,123.1,27.1
108,서울,2022-08-10,7.6,10
108,서울,2022-08-11,38.8,25.6
108,서울,2022-08-12,0,0
108,서울,2022-08-13,4,2
108,서울,2022-08-14,3,3
108,서울,2022-08-15,0.9,0.7
108,서울,2022-08-16,0,0
108,서울,2022-08-17,0,0
108,서울,2022-08-18,0,0
108,서울,2022-08-19,66.1,47.1
108,서울,2022-08-20,0,0.2
108,서울,2022-08-21,0,0
108,서울,2022-08-22,3.2,2.7
108,서울,2022-08-23,2.2,1
108,서울,2022-08-24,0,0
108,서울,2022-08-25,1.6,0.8
108,서울,2022-08-26,0,0
108,서울,2022-08-27,17.6,17.6
108,서울,2022-08-28,0,0
108,서울,2022-08-29,2.2,0.6
108,서울,2022-08-30,35.8,4.2
108,서울,2022-08-31,0,0
